model,strategy,budget_tok,acc_mean,acc_n,parse_err,latency_mean_ms,tokens_prompt_mean,tokens_comp_mean,acc_ci_lo,acc_ci_hi
gemma4:26b,priority_kw_fallback,2000,0.87,100,0.05,7306.02,1533.22,748.76,0.7901947810519012,0.9224290614158575
gemma4:26b,priority_kw_fallback,4000,0.87,100,0.01,6598.44,1548.61,682.46,0.7901947810519012,0.9224290614158575
gemma4:26b,priority_kw_fallback,8000,0.87,100,0.0,6023.61,1548.61,622.28,0.7901947810519012,0.9224290614158575
glm-5.1,fifo,1000,0.92,100,0.0,17645.64,761.86,276.85,0.8500173312059693,0.9589070305141891
glm-5.1,fifo,2000,0.96,100,0.0,16068.19,622.48,244.88,0.9016278276739262,0.984336949448152
glm-5.1,fifo,4000,0.94,100,0.0,16268.34,665.45,245.03,0.8752303146877748,0.9722142547333433
glm-5.1,fifo,8000,0.91,100,0.0,14631.27,492.01,230.05,0.8377362530335634,0.9519280048361151
glm-5.1,priority_kw,1000,0.91,100,0.0,17878.5,426.03,277.73,0.8377362530335634,0.9519280048361151
glm-5.1,priority_kw,2000,0.89,100,0.0,17943.77,446.24,234.3,0.8136853697209698,0.9374586804477487
glm-5.1,priority_kw,4000,0.9,100,0.0,17083.48,425.86,255.7,0.8256326956323347,0.9447714583868639
glm-5.1,priority_kw,8000,0.92,100,0.01,20208.66,328.58,255.78,0.8500173312059693,0.9589070305141891
gpt-oss:20b,fifo,1000,0.82,100,0.1,6520.27,1311.01,825.93,0.7333246397578691,0.8829986834574896
gpt-oss:20b,fifo,2000,0.82,100,0.08,5844.05,1409.93,742.82,0.7333246397578691,0.8829986834574896
gpt-oss:20b,fifo,4000,0.81,100,0.07,5846.7,1410.02,742.88,0.7222097592919214,0.8748534600729574
gpt-oss:20b,fifo,8000,0.82,100,0.1,6590.11,1410.02,840.75,0.7333246397578691,0.8829986834574896
gpt-oss:20b,priority_kw,1000,0.78,100,0.07,5306.26,1289.04,674.95,0.6892946528499969,0.849988254963442
gpt-oss:20b,priority_kw,2000,0.78,100,0.08,6107.37,1349.36,778.73,0.6892946528499969,0.849988254963442
gpt-oss:20b,priority_kw,4000,0.8,100,0.07,5592.48,1349.46,711.04,0.7111690380734977,0.8666340774409013
gpt-oss:20b,priority_kw,8000,0.8,100,0.05,5211.14,1349.46,660.74,0.7111690380734977,0.8666340774409013
gpt-oss:20b,priority_kw_fallback,1000,0.82,100,0.08,5392.62,1309.76,674.13,0.7333246397578691,0.8829986834574896
gpt-oss:20b,priority_kw_fallback,2000,0.83,100,0.06,5873.8,1409.45,744.11,0.7445181876635703,0.8910652394022684
gpt-oss:20b,priority_kw_fallback,4000,0.82,100,0.09,5683.06,1409.55,720.3,0.7333246397578691,0.8829986834574896
gpt-oss:20b,priority_kw_fallback,8000,0.83,100,0.07,5498.99,1409.55,695.92,0.7445181876635703,0.8910652394022684
