prev_tool,next_tool,lag,count
mcp__p11f8c4__get_meeting_transcript,mcp__p11f8c4__get_meeting_transcript,1,130
Grep,Write,1,129
TodoWrite,Grep,1,124
Bash,mcp__pd16dd1__create_merge_request,1,120
mcp__pd16dd1__get_issues,mcp__pd16dd1__get_issues,1,120
mcp__pd16dd1__get_merge_request_pipeline,Bash,1,120
mcp__pf3c76d__get_job_logs,mcp__pf3c76d__get_job_logs,1,113
AskUserQuestion,Bash,1,112
ToolSearch,TaskCreate,1,112
mcp__pd16dd1__create_merge_request_comment,TodoWrite,1,110
Monitor,Bash,1,108
mcp__pd16dd1__get_merge_request_discussions,TodoWrite,1,108
Bash,Monitor,1,106
Bash,Task,1,106
Write,Grep,1,106
Bash,WebSearch,1,104
Grep,TodoWrite,1,103
TodoWrite,TodoWrite,1,101
Read,Task,1,100
Agent,ToolSearch,1,97
Read,Agent,1,95
Read,TaskUpdate,1,95
Skill,Bash,1,95
ToolSearch,TaskUpdate,1,94
Bash,AskUserQuestion,1,93
mcp__pf3c76d__get_issues,mcp__pf3c76d__get_issues,1,92
Bash,mcp__pd16dd1__get_merge_requests,1,92
mcp__p67cee4__get_meeting_transcript,mcp__p67cee4__get_meeting_transcript,1,89
mcp__p7cbdd1__browser_wait_for,mcp__p7cbdd1__browser_click,1,89
ToolSearch,mcp__pf3c76d__create_merge_request,1,89
Bash,mcp__pd16dd1__get_merge_request_discussions,1,88
ExitPlanMode,Edit,1,88
Bash,Skill,1,85
Edit,Glob,1,84
mcp__pd16dd1__get_merge_request_discussions,mcp__pd16dd1__get_merge_request_discussions,1,84
ToolSearch,AskUserQuestion,1,83
ToolSearch,mcp__pf3c76d__get_issues,1,83
Bash,ScheduleWakeup,1,82
ScheduleWakeup,Bash,1,82
TaskUpdate,Agent,1,81
mcp__p7cbdd1__browser_navigate,mcp__p7cbdd1__browser_snapshot,1,78
mcp__p3a04ae__create_issue,mcp__p3a04ae__create_issue,1,78
WebSearch,Bash,1,76
mcp__pd16dd1__get_branch_pipeline,Read,1,76
WebFetch,Read,1,74
mcp__pd16dd1__update_issue,TodoWrite,1,74
Agent,Write,1,73
mcp__p7cbdd1__browser_click,Bash,1,72
Write,ToolSearch,1,72
Agent,TaskCreate,1,72
mcp__pd16dd1__get_merge_requests,mcp__pd16dd1__get_merge_request_discussions,1,72
TaskCreate,ToolSearch,1,72
ExitPlanMode,TodoWrite,1,71
ToolSearch,mcp__pd2ddfd__tabs_context_mcp,1,69
TodoWrite,mcp__pd16dd1__create_merge_request_comment,1,68
mcp__pf3c76d__create_issue,mcp__pf3c76d__create_issue,1,68
Bash,mcp__pf3c76d__update_issue,1,66
TaskUpdate,TaskCreate,1,65
TodoWrite,mcp__pd16dd1__get_merge_request_discussions,1,64
ToolSearch,WebSearch,1,64
ToolSearch,WebFetch,1,63
Read,TaskCreate,1,63
Bash,mcp__pd16dd1__update_issue,1,62
Bash,mcp__pd16dd1__create_merge_request_comment,1,62
mcp__p11f8c4__update_sheet_cells,mcp__p11f8c4__update_sheet_cells,1,62
Read,AskUserQuestion,1,61
Edit,Agent,1,60
mcp__pd2ddfd__tabs_context_mcp,Bash,1,59
Agent,Grep,1,59
Skill,ToolSearch,1,59
ToolSearch,mcp__pf3c76d__create_issue,1,59
EnterPlanMode,Task,1,59
ToolSearch,ExitPlanMode,1,58
mcp__pf3c76d__get_branch_pipeline,Read,1,58
ToolSearch,Read,1,57
mcp__pd8e750__update_issue,mcp__pd8e750__update_issue,1,57
Bash,mcp__pf3c76d__create_merge_request,1,55
mcp__pd8e750__add_issue_comment,mcp__pd8e750__add_issue_comment,1,55
Skill,mcp__pd16dd1__get_issues,1,54
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_snapshot,1,52
AskUserQuestion,Read,1,52
Grep,TaskUpdate,1,52
Task,Bash,1,52
mcp__pd16dd1__create_merge_request,mcp__pd16dd1__create_issue_comment,1,52
Edit,ToolSearch,1,50
Grep,ToolSearch,1,50
mcp__pd16dd1__get_issues,mcp__pd16dd1__get_issue_relations,1,50
mcp__p5ee74d__create_issue_comment,mcp__p5ee74d__create_issue_comment,1,50
ExitPlanMode,Read,1,49
mcp__p5ee74d__get_issue,mcp__p5ee74d__get_issue,1,48
EnterPlanMode,Agent,1,47
Agent,Edit,1,46
mcp__pd16dd1__create_issue,mcp__pd16dd1__create_issue,1,44
mcp__p3a04ae__create_issue,Bash,1,44
mcp__pf3c76d__get_pipeline,mcp__pf3c76d__get_job_logs,1,42
mcp__pd16dd1__create_issue_comment,TodoWrite,1,42
mcp__pd16dd1__create_merge_request_comment,Bash,1,42
mcp__pd16dd1__get_issue_relations,mcp__pd16dd1__get_issue_comments,1,42
ToolSearch,mcp__pf3c76d__get_merge_request_discussions,1,42
mcp__pd16dd1__update_issue,mcp__pd16dd1__update_issue,1,42
Task,AskUserQuestion,1,42
mcp__p7cbdd1__browser_navigate,Bash,1,41
Task,Write,1,40
mcp__pf3c76d__update_issue,mcp__pf3c76d__update_issue,1,40
mcp__pcd9e51__update_issue,mcp__pcd9e51__update_issue,1,40
mcp__p5ee74d__get_issues,mcp__p5ee74d__get_issues,1,40
mcp__pd8e750__create_merge_request_comment,mcp__pd8e750__create_merge_request_comment,1,40
ToolSearch,Agent,1,39
TodoWrite,Task,1,39
Read,WebSearch,1,39
ToolSearch,mcp__pf3c76d__get_pipeline,1,39
TaskUpdate,Glob,1,39
AskUserQuestion,Task,1,39
ToolSearch,TaskOutput,1,38
mcp__pf3c76d__get_issues,mcp__pf3c76d__get_project_info,1,38
mcp__pf3c76d__create_issue,ToolSearch,1,38
ToolSearch,mcp__pf3c76d__update_issue,1,38
mcp__pd16dd1__get_merge_request_discussions,mcp__pd16dd1__get_branch_pipeline,1,38
Bash,mcp__pd16dd1__get_chat_messages,1,38
mcp__p9846af__create_issue,mcp__p9846af__create_issue,1,38
TaskOutput,TaskOutput,1,37
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_type,1,37
mcp__pf3c76d__create_issue,Bash,1,37
AskUserQuestion,Write,1,37
mcp__p11f8c4__update_sheet_cells,mcp__p11f8c4__read_sheet_data,1,37
mcp__p67cee4__update_sheet_cells,mcp__p67cee4__update_sheet_cells,1,36
mcp__pf3c76d__create_merge_request,mcp__pf3c76d__create_issue_comment,1,36
mcp__pf3c76d__create_merge_request,ToolSearch,1,36
mcp__pd16dd1__get_merge_request_pipeline,Read,1,36
WebSearch,Read,1,36
Read,WebFetch,1,35
mcp__p11f8c4__read_sheet_data,mcp__p11f8c4__update_sheet_cells,1,35
mcp__p0f36b0__create_issue,mcp__p0f36b0__create_issue,1,35
mcp__p7cbdd1__browser_type,mcp__p7cbdd1__browser_click,1,34
mcp__pf3c76d__get_job_logs,Read,1,34
mcp__pd16dd1__get_merge_request_discussions,mcp__pd16dd1__get_merge_request_pipeline,1,34
mcp__pf3c76d__get_merge_request_discussions,Bash,1,34
Bash,mcp__pf3c76d__get_merge_request_discussions,1,34
Bash,mcp__pf3c76d__create_merge_request_comment,1,34
mcp__pcd9e51__create_issue,mcp__pcd9e51__create_issue,1,34
TaskOutput,mcp__pd16dd1__get_branch_pipeline,1,34
Bash,EnterPlanMode,1,34
WebFetch,Edit,1,34
mcp__p7cbdd1__browser_snapshot,Bash,1,33
ToolSearch,EnterPlanMode,1,33
ToolSearch,mcp__pf3c76d__get_merge_requests,1,33
TaskCreate,Bash,1,33
mcp__p67cee4__get_issues,mcp__p67cee4__get_issues,1,32
AskUserQuestion,Edit,1,32
mcp__pf3c76d__update_issue,Read,1,32
mcp__pf3c76d__create_merge_request,Bash,1,32
Bash,mcp__pf3c76d__get_job_logs,1,32
mcp__pf3c76d__get_job_logs,Bash,1,32
ToolSearch,mcp__pf3c76d__get_issue,1,32
mcp__pf3c76d__update_issue,Bash,1,32
mcp__pd16dd1__get_branch_pipeline,Grep,1,32
mcp__pd16dd1__get_chat_messages,Bash,1,32
mcp__p67cee4__create_issue,mcp__p67cee4__create_issue,1,31
Bash,mcp__p67cee4__create_merge_request,1,30
Agent,TaskUpdate,1,30
Grep,Agent,1,30
ToolSearch,mcp__pf3c76d__get_job_logs,1,30
mcp__pf3c76d__get_issues,ToolSearch,1,30
mcp__pf3c76d__get_project_info,mcp__pf3c76d__get_epics,1,30
mcp__pd16dd1__get_issue_comments,Bash,1,30
mcp__pd16dd1__link_issues,mcp__pd16dd1__link_issues,1,30
mcp__p67cee4__create_merge_request_comment,mcp__p67cee4__create_merge_request_comment,1,29
mcp__p11f8c4__create_knowledge_base_page,mcp__p11f8c4__create_knowledge_base_page,1,29
Write,AskUserQuestion,1,28
mcp__p7cbdd1__browser_click,Grep,1,28
Edit,mcp__p7cbdd1__browser_navigate,1,28
mcp__pd16dd1__get_merge_requests,Bash,1,28
AskUserQuestion,Grep,1,28
mcp__pd16dd1__get_issues,mcp__pd16dd1__get_project_info,1,28
ToolSearch,mcp__pf3c76d__get_branch_pipeline,1,28
mcp__pf3c76d__get_issue,Bash,1,28
mcp__pf3c76d__get_merge_request_diffs,mcp__pf3c76d__get_merge_request_diffs,1,28
mcp__p7cbdd1__browser_wait_for,mcp__p7cbdd1__browser_snapshot,1,28
mcp__p5ee74d__update_issue,mcp__p5ee74d__update_issue,1,28
mcp__p3a04ae__update_issue,Bash,1,28
ToolSearch,Glob,1,27
Task,Grep,1,27
Glob,Write,1,26
ToolSearch,Grep,1,26
ExitPlanMode,Agent,1,26
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_wait_for,1,26
Skill,mcp__pf3c76d__get_issues,1,26
ToolSearch,mcp__pf3c76d__create_issue_comment,1,26
TodoWrite,mcp__pd16dd1__update_issue,1,26
mcp__pd16dd1__get_project_info,mcp__pd16dd1__get_epics,1,26
TodoWrite,mcp__pd16dd1__get_branch_pipeline,1,26
mcp__p3a04ae__update_issue,mcp__p3a04ae__update_issue,1,26
Bash,mcp__p7cbdd1__browser_click,1,25
Glob,TodoWrite,1,25
mcp__p7cbdd1__browser_type,mcp__p7cbdd1__browser_type,1,25
mcp__p8f556d__create_merge_request_comment,mcp__p8f556d__create_merge_request_comment,1,25
TaskStop,Bash,1,24
Task,Edit,1,24
mcp__pf3c76d__get_issue,mcp__pf3c76d__get_issue,1,24
mcp__pd16dd1__get_epics,AskUserQuestion,1,24
TaskUpdate,ToolSearch,1,24
ExitPlanMode,Bash,1,24
mcp__pd16dd1__create_epic,mcp__pd16dd1__create_epic,1,24
mcp__pd16dd1__get_chat_messages,Read,1,24
mcp__pf3c76d__get_branch_pipeline,mcp__pf3c76d__get_branch_pipeline,1,24
TodoWrite,mcp__p7cbdd1__browser_navigate,1,23
AskUserQuestion,TodoWrite,1,23
Write,Glob,1,23
mcp__pf3c76d__send_message,mcp__pf3c76d__send_message,1,23
WebSearch,ToolSearch,1,23
mcp__p7cbdd1__browser_type,mcp__p7cbdd1__browser_snapshot,1,23
mcp__p1b45fc__update_sheet_cells,mcp__p1b45fc__update_sheet_cells,1,23
mcp__p67cee4__create_merge_request,mcp__p67cee4__update_issue,1,22
mcp__p7cbdd1__browser_wait_for,Bash,1,22
WebSearch,Edit,1,22
mcp__pf3c76d__get_epics,ToolSearch,1,22
ToolSearch,Edit,1,22
AskUserQuestion,mcp__pd16dd1__create_issue,1,22
TodoWrite,mcp__pd16dd1__get_issues,1,22
mcp__pd16dd1__create_merge_request,TodoWrite,1,22
Read,mcp__pd16dd1__create_merge_request_comment,1,22
Read,Skill,1,22
mcp__pd16dd1__get_issue,TodoWrite,1,22
mcp__pf3c76d__create_issue_comment,mcp__pf3c76d__create_issue_comment,1,22
mcp__pf3c76d__get_meeting_transcript,mcp__pf3c76d__get_meeting_transcript,1,22
ExitPlanMode,TaskCreate,1,22
mcp__pd16dd1__get_branch_pipeline,mcp__pd16dd1__get_chat_messages,1,22
Bash,mcp__p3a04ae__create_issue,1,22
Skill,Read,1,21
Write,Agent,1,21
WebFetch,Glob,1,21
Bash,mcp__p7cbdd1__browser_snapshot,1,21
Glob,Edit,1,21
ToolSearch,mcp__pf3c76d__get_project_info,1,21
ExitPlanMode,ToolSearch,1,21
AskUserQuestion,Agent,1,21
mcp__pd2ddfd__computer,mcp__pd2ddfd__computer,1,21
mcp__p67cee4__update_issue,TodoWrite,1,20
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_navigate,1,20
Bash,mcp__p5ee74d__get_branch_pipeline,1,20
mcp__pd16dd1__get_merge_request_discussions,Read,1,20
TodoWrite,mcp__pd16dd1__get_merge_request_pipeline,1,20
mcp__pd16dd1__get_meeting_transcript,TodoWrite,1,20
mcp__pd16dd1__get_merge_request_discussions,Bash,1,20
mcp__pd16dd1__create_issue,TodoWrite,1,20
mcp__pd16dd1__create_merge_request,mcp__pd16dd1__update_issue,1,20
mcp__pd16dd1__get_merge_request_discussions,mcp__pd16dd1__create_merge_request_comment,1,20
AskUserQuestion,AskUserQuestion,1,20
mcp__pf3c76d__get_merge_requests,Bash,1,20
mcp__pf3c76d__get_merge_request_discussions,Read,1,20
mcp__pa07824__clickup_update_task,mcp__pa07824__clickup_update_task,1,20
TaskUpdate,Task,1,19
TaskList,Bash,1,19
mcp__pf3c76d__get_pipeline,mcp__pf3c76d__get_pipeline,1,18
mcp__p5ee74d__get_branch_pipeline,Bash,1,18
mcp__pd16dd1__get_issue,Bash,1,18
mcp__pf3c76d__create_merge_request_comment,Bash,1,18
mcp__pf3c76d__get_issues,Bash,1,18
mcp__p7cbdd1__browser_click,TodoWrite,1,18
mcp__pd16dd1__get_branch_pipeline,TodoWrite,1,18
mcp__pd16dd1__get_branch_pipeline,mcp__pd16dd1__get_branch_pipeline,1,18
Grep,TaskCreate,1,18
ToolSearch,mcp__pf3c76d__get_epics,1,18
ExitPlanMode,Write,1,18
mcp__p67cee4__create_issue,Bash,1,17
Agent,AskUserQuestion,1,17
Bash,mcp__p3a04ae__update_issue,1,17
Grep,WebSearch,1,16
mcp__p7cbdd1__browser_wait_for,mcp__p7cbdd1__browser_navigate,1,16
Bash,mcp__p8eb7a0__get_branch_pipeline,1,16
mcp__pf3c76d__create_issue,Skill,1,16
mcp__pf3c76d__get_pipeline,Read,1,16
mcp__pd16dd1__create_issue,Bash,1,16
mcp__pd16dd1__get_merge_requests,mcp__pd16dd1__get_merge_requests,1,16
Task,TaskCreate,1,16
Bash,mcp__pf3c76d__get_merge_requests,1,16
mcp__pd16dd1__get_meeting_notes,mcp__pd16dd1__get_meeting_transcript,1,16
TodoWrite,AskUserQuestion,1,16
ToolSearch,mcp__pf3c76d__get_messenger_chats,1,16
Bash,TaskList,1,16
mcp__pd16dd1__get_branch_pipeline,Edit,1,16
mcp__pf3c76d__update_issue,ToolSearch,1,16
mcp__pd16dd1__get_merge_request_pipeline,Edit,1,16
TaskOutput,Read,1,16
mcp__pf3c76d__create_issue_comment,mcp__pf3c76d__update_issue,1,16
mcp__p69428e__create_issue,mcp__p69428e__create_issue,1,16
ToolSearch,mcp__p3a04ae__update_issue,1,16
mcp__p0f36b0__update_issue,mcp__p0f36b0__update_issue,1,16
Bash,TaskStop,1,15
WebFetch,Grep,1,15
Task,TodoWrite,1,14
Read,EnterPlanMode,1,14
Grep,WebFetch,1,14
mcp__p7cbdd1__browser_snapshot,mcp__p7cbdd1__browser_navigate,1,14
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_take_screenshot,1,14
Task,Glob,1,14
mcp__pd16dd1__get_issues,Grep,1,14
mcp__pd16dd1__get_issues,TodoWrite,1,14
Grep,mcp__pd16dd1__create_issue,1,14
mcp__pd16dd1__create_issue,mcp__pd16dd1__get_issue,1,14
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_close,1,14
Bash,mcp__pf3c76d__create_issue,1,14
TodoWrite,mcp__pd16dd1__get_issue,1,14
Read,mcp__pd16dd1__create_issue,1,14
mcp__pd16dd1__update_issue,mcp__pd16dd1__create_issue_comment,1,14
ToolSearch,Write,1,14
mcp__pf3c76d__get_branch_pipeline,ToolSearch,1,14
mcp__p67cee4__search_meeting_notes,mcp__p67cee4__search_meeting_notes,1,13
ToolSearch,mcp__p67cee4__create_merge_request,1,13
mcp__p7cbdd1__browser_fill_form,mcp__p7cbdd1__browser_snapshot,1,13
mcp__p67cee4__get_messenger_chats,mcp__p67cee4__send_message,1,13
AskUserQuestion,ToolSearch,1,13
mcp__p8eb7a0__get_branch_pipeline,Bash,1,13
Task,EnterPlanMode,1,13
EnterPlanMode,Read,1,13
mcp__p7cbdd1__browser_fill_form,mcp__p7cbdd1__browser_click,1,13
TaskCreate,Read,1,13
mcp__pf3c76d__get_messenger_chats,mcp__pf3c76d__send_message,1,13
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_network_requests,1,13
mcp__pd2ddfd__tabs_context_mcp,mcp__pd2ddfd__tabs_context_mcp,1,13
ExitPlanMode,WebSearch,1,13
ExitPlanMode,ExitPlanMode,1,13
ToolSearch,mcp__p3a04ae__create_issue,1,13
mcp__p3a04ae__create_issue_comment,mcp__p3a04ae__create_issue_comment,1,13
Bash,mcp__p3a04ae__create_issue_comment,1,13
ToolSearch,Monitor,1,12
ToolSearch,mcp__p67cee4__create_issue,1,12
WebSearch,Grep,1,12
mcp__p891dec__get_meeting_notes,mcp__p891dec__get_meeting_notes,1,12
mcp__p7cbdd1__browser_console_messages,Bash,1,12
Bash,mcp__p67cee4__get_branch_pipeline,1,12
Grep,AskUserQuestion,1,12
WebFetch,TodoWrite,1,12
mcp__pf3c76d__get_job_logs,Grep,1,12
ToolSearch,Skill,1,12
mcp__pd16dd1__get_issue_relations,mcp__pd16dd1__get_issues,1,12
TodoWrite,mcp__pd16dd1__get_merge_requests,1,12
mcp__pd16dd1__get_merge_request_pipeline,Grep,1,12
mcp__pd16dd1__get_merge_request_pipeline,TodoWrite,1,12
Read,ExitPlanMode,1,12
mcp__pf3c76d__update_issue,Agent,1,12
mcp__pf3c76d__get_merge_request_discussions,mcp__pf3c76d__get_pipeline,1,12
mcp__pd16dd1__get_merge_request_diffs,Read,1,12
Bash,mcp__p7cbdd1__browser_evaluate,1,12
mcp__pf3c76d__create_issue_comment,ToolSearch,1,12
ToolSearch,mcp__pf3c76d__create_merge_request_comment,1,12
mcp__pf3c76d__create_merge_request,Read,1,12
mcp__pd16dd1__get_issues,Read,1,12
mcp__pd16dd1__create_issue,mcp__pd16dd1__link_issues,1,12
mcp__pd16dd1__get_issue,mcp__pd16dd1__get_issue,1,12
TodoWrite,mcp__pd16dd1__create_issue,1,12
mcp__p9e58dc__list_knowledge_base_docs,mcp__p9e58dc__list_knowledge_base_pages,1,12
mcp__pd16dd1__get_messenger_chats,mcp__pd16dd1__get_chat_messages,1,12
mcp__pd16dd1__update_issue,mcp__pd16dd1__get_issue,1,12
mcp__pf3c76d__update_issue,mcp__pf3c76d__create_issue_comment,1,12
mcp__p5ee74d__create_merge_request,mcp__p5ee74d__create_issue_comment,1,12
Edit,AskUserQuestion,1,12
mcp__p964188__link_issues,mcp__p964188__get_issue_relations,1,12
mcp__p964188__update_issue,mcp__p964188__get_issue_relations,1,12
mcp__p9846af__update_issue,mcp__p9846af__update_issue,1,12
mcp__p3a04ae__create_issue_comment,mcp__p3a04ae__update_issue,1,12
ToolSearch,mcp__p67cee4__update_issue,1,11
mcp__p67cee4__get_meeting_notes,mcp__p67cee4__get_meeting_transcript,1,11
Grep,Task,1,11
mcp__p67cee4__read_sheet_data,mcp__p67cee4__read_sheet_data,1,11
Bash,mcp__p67cee4__update_issue,1,11
Read,mcp__p7cbdd1__browser_navigate,1,11
mcp__p7cbdd1__browser_navigate,mcp__p7cbdd1__browser_console_messages,1,11
TodoWrite,mcp__p7cbdd1__browser_click,1,11
mcp__p7cbdd1__browser_navigate,Read,1,11
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_console_messages,1,11
mcp__p7cbdd1__browser_close,mcp__p7cbdd1__browser_navigate,1,11
mcp__p7cbdd1__browser_close,Bash,1,11
mcp__pf3c76d__get_merge_requests,ToolSearch,1,11
mcp__pf3c76d__get_job_logs,mcp__pf3c76d__get_pipeline,1,11
ExitPlanMode,AskUserQuestion,1,11
ExitPlanMode,Grep,1,11
WebSearch,Glob,1,11
TodoWrite,WebSearch,1,11
mcp__pf3c76d__send_message,ToolSearch,1,11
mcp__p11f8c4__read_sheet_data,mcp__p11f8c4__read_sheet_data,1,11
Grep,Skill,1,10
Task,ToolSearch,1,10
mcp__p67cee4__send_message,mcp__p67cee4__send_message,1,10
Bash,mcp__p67cee4__create_merge_request_comment,1,10
Bash,mcp__p7cbdd1__browser_network_requests,1,10
mcp__p7cbdd1__browser_network_requests,Bash,1,10
mcp__p67cee4__get_branch_pipeline,Bash,1,10
Edit,Task,1,10
mcp__p7cbdd1__browser_console_messages,mcp__p7cbdd1__browser_network_requests,1,10
mcp__pf3c76d__get_pipeline,ToolSearch,1,10
Grep,mcp__pf3c76d__get_job_logs,1,10
mcp__pd16dd1__get_issues,mcp__pd16dd1__get_issue_comments,1,10
mcp__pd16dd1__get_issues,Glob,1,10
mcp__pd16dd1__update_issue,Read,1,10
mcp__pf3c76d__get_issue_relations,mcp__pf3c76d__get_issue_comments,1,10
mcp__pf3c76d__get_merge_request_diffs,Bash,1,10
mcp__pd16dd1__get_issues,mcp__pd16dd1__get_epics,1,10
mcp__pd16dd1__get_merge_request_diffs,mcp__pd16dd1__get_branch_pipeline,1,10
Task,Skill,1,10
mcp__p7cbdd1__browser_wait_for,mcp__p7cbdd1__browser_network_requests,1,10
Read,mcp__pd16dd1__get_branch_pipeline,1,10
mcp__pf3c76d__get_job_logs,Agent,1,10
mcp__pf3c76d__create_merge_request_comment,Agent,1,10
mcp__pf3c76d__create_merge_request,Grep,1,10
mcp__pf3c76d__create_issue_comment,Agent,1,10
mcp__pcd9e51__get_issue_comments,mcp__pcd9e51__get_issue_comments,1,10
mcp__p11f8c4__get_meeting_notes,mcp__p11f8c4__get_meeting_transcript,1,10
TaskUpdate,TaskList,1,10
Bash,mcp__p5ee74d__update_issue,1,10
mcp__pf3c76d__create_merge_request_comment,mcp__pf3c76d__get_merge_request_discussions,1,10
mcp__p5ee74d__create_merge_request_comment,mcp__p5ee74d__create_merge_request_comment,1,10
mcp__pf3c76d__get_issue,Agent,1,10
Read,mcp__pf3c76d__get_merge_request_diffs,1,10
mcp__pf3c76d__get_merge_request_diffs,Read,1,10
mcp__pf3c76d__get_meeting_notes,mcp__pf3c76d__get_meeting_transcript,1,10
Agent,mcp__pf3c76d__update_issue,1,10
mcp__pd16dd1__get_branch_pipeline,mcp__pd16dd1__create_merge_request_comment,1,10
TodoWrite,mcp__pd16dd1__create_merge_request,1,10
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_fill_form,1,10
mcp__p7cbdd1__browser_evaluate,Bash,1,10
mcp__pd16dd1__get_merge_requests,mcp__pd16dd1__get_issues,1,10
WebSearch,TodoWrite,1,10
Bash,mcp__p4368a5__get_project_info,1,10
mcp__p964188__create_issue,mcp__p964188__create_issue,1,10
mcp__p964188__get_issue_relations,Bash,1,10
mcp__pd16dd1__get_chat_messages,TodoWrite,1,10
mcp__p964188__create_issue,mcp__p964188__link_issues,1,10
mcp__p964188__get_issue_relations,mcp__p964188__update_issue,1,10
mcp__p0f36b0__update_issue,Bash,1,10
mcp__p67cee4__create_merge_request,Bash,1,9
mcp__pf1a3f9__get_issues,mcp__pf1a3f9__get_issues,1,9
mcp__p67cee4__update_issue,Bash,1,9
mcp__p67cee4__create_merge_request_comment,TodoWrite,1,9
mcp__p891dec__search_meeting_notes,mcp__p891dec__search_meeting_notes,1,9
mcp__p7cbdd1__browser_take_screenshot,mcp__p7cbdd1__browser_click,1,9
mcp__p7cbdd1__browser_snapshot,Read,1,9
mcp__p7cbdd1__browser_take_screenshot,TodoWrite,1,9
mcp__p67cee4__send_message,Bash,1,9
Bash,mcp__pd2ddfd__tabs_context_mcp,1,9
Edit,WebFetch,1,9
ToolSearch,mcp__p8bceef__create_merge_request,1,9
TaskList,TaskUpdate,1,9
Agent,WebFetch,1,9
mcp__pf3c76d__get_issues,mcp__pf3c76d__create_issue,1,9
mcp__p7cbdd1__browser_close,Read,1,9
ToolSearch,TaskList,1,9
Edit,WebSearch,1,9
mcp__p18d1b3__create_issue,mcp__p18d1b3__create_issue,1,9
mcp__p18d1b3__link_issues,mcp__p18d1b3__link_issues,1,9
mcp__pd8e750__get_issues,mcp__pd8e750__get_issues,1,9
WebFetch,Write,1,9
ToolSearch,mcp__p3a04ae__get_issues,1,9
mcp__p67cee4__get_issue,Bash,1,8
ToolSearch,mcp__p67cee4__get_meeting_notes,1,8
