bucket,model,strategy,budget_tok,acc_mean,n
small_1-5,glm-5.1,priority_kw,8000,0.9464285714285714,56
small_1-5,gpt-oss:20b,fifo,1000,0.9107142857142857,56
small_1-5,gpt-oss:20b,fifo,2000,0.9107142857142857,56
small_1-5,gpt-oss:20b,fifo,4000,0.9107142857142857,56
small_1-5,gpt-oss:20b,fifo,8000,0.9107142857142857,56
small_1-5,gpt-oss:20b,priority_kw,1000,0.875,56
small_1-5,gpt-oss:20b,priority_kw,2000,0.8928571428571429,56
small_1-5,gpt-oss:20b,priority_kw,4000,0.875,56
small_1-5,gpt-oss:20b,priority_kw,8000,0.8928571428571429,56
small_1-5,gpt-oss:20b,priority_kw_fallback,1000,0.9107142857142857,56
small_1-5,gpt-oss:20b,priority_kw_fallback,2000,0.9285714285714286,56
small_1-5,gpt-oss:20b,priority_kw_fallback,4000,0.9285714285714286,56
small_1-5,gpt-oss:20b,priority_kw_fallback,8000,0.9285714285714286,56
